Year,Tournament,Winner,Runner-up,Score
1959,Wimbledon Championships,Maria Bueno,Darlene Hard,"6–4, 6–3"
1959,French Championships,Christine Truman,Zsuzsi Körmöczy,"6–4, 7–5"
1959,Australian Championships,Mary Carter Reitano,Renée Schuurman,"6–2, 6–3"
1958,U.S. National Championships,Althea Gibson,Darlene R. Hard,"3–6, 6–1, 6–2"
1958,Wimbledon Championships,Althea Gibson,Angela Mortimer,"8–6, 6–2"
1958,French Championships,Zsuzsi Körmöczy,Shirley Bloomer,"6–4, 1–6, 6–2"
1958,Australian Championships,Angela Mortimer,Lorraine Coghlan,"6–3, 6–4"
1957,U.S. National Championships,Althea Gibson,A. Louise Brough,"6–3, 6–2"
1957,Wimbledon Championships,Althea Gibson,Darlene Hard,"6–3, 6–2"
1957,French Championships,Shirley Bloomer,Dorothy Head Knode,"6–1, 6–3"
1957,Australian Championships,Shirley Fry,Althea Gibson,"6–3, 6–4"
1956,U.S. National Championships,Shirley Fry,Althea Gibson,"6–3, 6–4"
1956,Wimbledon Championships,Shirley Fry,Angela Buxton,"6–3, 6–1"
1956,French Championships,Althea Gibson,Angela Mortimer,"6–0, 12–10"
1956,Australian Championships,Mary Carter,Thelma Long,"3–6, 6–2, 9–7"
1955,U.S. National Championships,Doris Hart,Patricia Ward,"6–4, 6–2"
1955,Wimbledon Championships,Louise Brough,Beverly Fleitz,"7–5, 8–6"
1955,French Championships,Angela Mortimer,Dorothy Head Knode,"2–6, 7–5, 10–8"
1955,Australian Championships,Beryl Penrose,Thelma Long,"6–4, 6–3"
1954,U.S. National Championships,Doris Hart,A. Louise Brough,"6–8, 6–1, 8–6"
1954,Wimbledon Championships,Maureen Connolly,Louise Brough,"6–2, 7–5"
1954,French Championships,Maureen Connolly,Ginette Bucaille,"6–4, 6–1"
1954,Australian Championships,Thelma Long,Jennifer Staley,"6–3, 6–4"
1953,U.S. National Championships,Maureen Connolly,Doris Hart,"6–2, 6–4"
1953,Wimbledon Championships,Maureen Connolly,Doris Hart,"8–6, 7–5"
1953,French Championships,Maureen Connolly,Doris Hart,"6–2, 6–4"
1953,Australian Championships,Maureen Connolly,Julia Sampson,"6–3, 6–2"
1952,U.S. National Championships,Maureen Connolly,Doris Hart,"6–3, 7–5"
1952,Wimbledon Championships,Maureen Connolly,Louise Brough,"7–5, 6–3"
1952,French Championships,Doris Hart,Shirley Fry,"6–4, 6–4"
1952,Australian Championships,Thelma Long,Helen Angwin,"6–2, 6–3"
1951,U.S. National Championships,Maureen Connolly,Shirley Fry,"6–3, 1–6, 6–4"
1951,Wimbledon Championships,Doris Hart,Shirley Fry,"6–1, 6–0"
1951,French Championships,Shirley Fry,Doris Hart,"6–3, 3–6, 6–3"
1951,Australian Championships,Nancye Wynne Bolton,Thelma Long-Coyne,"6–1, 7–5"
