Name,Full name,Country (sports),Residence,Born,Height,Turned pro,Retired,Plays,Coach,Prize money,Int. Tennis HoF,Died,Native name,Official website,College,Nickname(s),National team,Weight,ITF name,Batting,Bowling,Listed height,Listed weight
Ann Haydon-Jones,Ann Shirley Jones,Great Britain,,1938-10-07,,,,Left-handed,,,1985 (member page),,,,,,,,,,,,
Helen Jackson,,,,,,,,,,,,,,,,,,,,,,,
Victoria Azarenka,Victoria Fyodorovna Azarenka,Belarus,"Manhattan Beach, California, United States",1989-07-31,1.83 m,2003,,Right-handed (two-handed backhand),Dorian Descloix (February 2020–present),"$32,347,288[1]
7th in all-time rankings",,,Вікторыя Фёдараўна АзаранкаViktoryja Fiodaraŭna Azaranka,,,,,,,,,,
Shirley Fry,Shirley June Fry Irvin,United States,"Orlando, Florida, United States",1927-06-30,1.65 m,,1957,Right–handed,,,1970 (member page),,,,,,,,,,,,
Mary Browne,Mary Kendall Browne,United States,,1891-06-03,1.57 m,,,Right-handed,,,1957 (member page),"August 19, 1971(1971-08-19) (aged 80)Laguna Hills, U.S.",,,,,,,,,,,
Kathleen McKane,Kathleen McKane Godfree,Great Britain,,1896-05-07,,,,Right-handed,,,1978 (member page),"19 June 1992(1992-06-19) (aged 96)London, England",,,,,,,,,,,
Lena Rice,Helena Bertha Grace Rice,United Kingdom,,1866-06-21,,,,,,,,21 June 1907(1907-06-21) (aged 41)[1]Marlhill[1],,,,,,,,,,,
Betsy Nagelsen,,,"Maui, Hawaii &Orlando, Florida",1956-10-23,1.75 m,1973,1996,Right-handed,,"$1,016,519",,,,,,,,,,,,,
Vera Zvonareva,,Russia,"Moscow, Russia",1984-09-07,1.72 m,September 2000,,Right-handed (two-handed backhand),Sam Sumyk (2007–2009)Antonio van Grichen (2010)Sergei Demekhine (2010–2011)Arnaud Decugis (2018–)Stephane Robert (2019–),"US$ 13,883,851",,,,www.zvonareva.ru,,,,,,,,,
Serena Williams,Serena Jameka Williams,United States,"Palm Beach Gardens, Florida, U.S.[1]",1981-09-26,175 cm,October 1995,,Right-handed (two-handed backhand),Richard Williams (1994–)Oracene PricePatrick Mouratoglou (2012–)[2],"US$ 94,236,271[3]
1st in all-time rankings",,,,www.serenawilliams.com,,,,,,,,,
Helena Suková,,Czechoslovakia (1983–1992) Czech Republic (1993–1998),"Prague, Czech Republic",1965-02-23,1.88 m,1983,1998,Right-handed (one-handed backhand),,"US$ 6,391,245",2018 (member page),,,,,,,,,,,,
Helen Gourlay,,Australia,,1946-12-23,168 cm,,1978,Right-handed,,,,,,,,,,,,,,,
Winifred McNair,,,,1877-08-09,,,,,,,,"28 March 1954(1954-03-28) (aged 76)Kensington, London, England",,,,,,,,,,,
Carrie Neely,Carrie Blair Neely,USA,,,,,,,,,,"(1938-11-29)November 29, 1938Chicago, IL, United States",,,,,,,,,,,
Agnieszka Radwańska,Agnieszka Roma Radwańska,Poland,"Kraków, Poland",1989-03-06,1.73 m,23 April 2005,14 November 2018,Right-handed (two-handed backhand),,"US$27,683,807[1]
9th in all-time rankings",,,,agaradwanska.com,,,,,,,,,
Alice Pickering,,,,,,,,,,,,,,,,,,,,,,,
Nancy Lyle,,United Kingdom,,1910-02-26,,,,Right-handed,,,,1986,,,,,,,,,,,
Marie Wagner,,USA,,1883-02-02,,,,Right-handed,,,1969 (member page),1 April 1975(1975-04-01) (aged 92)[1] or  28 March 1975(1975-03-28) (aged 92)[2],,,,,,,,,,,
Blanche Bingley,Blanche Bingley Hillyard,United Kingdom,,1863-11-03,,,,Right-handed,,,2013 (member page),"6 August 1946(1946-08-06) (aged 82)West Sussex, England",,,,,,,,,,,
Iva Majoli,,Yugoslavia (1990–1991) Croatia (1992-2015),"Zagreb, CroatiaBradenton, Florida",1977-08-12,1.75 m,August 1991,June 2004,Right-handed (two-handed backhand),,"$4,405,867",,,,,,,,,,,,,
Charlotte Cooper Sterry,Charlotte Reinagle Cooper Sterry,United Kingdom,,1870-09-22,,,,Right–handed,,,2013 (member page),"10 October 1966(1966-10-10) (aged 96)Helensburgh, Scotland",,,,,,,,,,,
Virginia Wade,,United Kingdom,,1945-07-10,1.70 m,1968,1986,Right-handed (one-handed backhand),,"$1,542,278",1989 (member page),,,,,,,,,,,,
Jadwiga Jędrzejowska,,Poland,,1912-10-15,,,,Right-handed,,,,"28 February 1980(1980-02-28) (aged 67)Katowice, Poland",,,,,,,,,,,
Edith Parker,,United States,,,,,,,,,,,,,,,,,,,,,
Beverly Fleitz,,United States,,1930-03-13,,,,Right and left-handed forehand,,Amateur,,"April 29, 2014(2014-04-29) (aged 84)Long Beach, California, U.S.",,,,,,,,,,,
Darlene Hard,Darlene Ruth Hard,United States,,1936-01-06,,1965,,Right-handed,,,1973 (member page),,,,,,,,,,,,
Sarah H. Palfrey,Sarah Hammond Palfrey Danzig,United States,,1912-09-18,1.63 m,1947,,Right-handed,,,1963 (member page),"February 27, 1996(1996-02-27) (aged 83)New York, New York, United States",,,,,,,,,,,
Virginia Ruzici,,Romania,,1955-01-31,1.73 m,1975,1987,Right-handed (one-handed backhand),,"US$1,183,728",,,,,,,,,,,,,
Anna McCune Harper,,United States,,1902-07-02,,,1932,Left-handed [1],,,,"June 14, 1999(1999-06-14) (aged 96)Moraga, California, U.S.",,,,,,,,,,,
Ethel Thomson,Ethel Warneford Thomson Larcombe,United Kingdom,,1879-06-08,,,,Right-handed,,,,"11 August 1965(1965-08-11) (aged 86)Budleigh Salterton, England",,,,,,,,,,,
Daphne Akhurst,Daphne Jessie Akhurst Cozens,Australia,,1903-04-22,,,,Right-handed,,,2013 (member page),"9 January 1933(1933-01-09) (aged 29)Sydney, Australia",,,,,,,,,,,
Thelma Long,Thelma Dorothy Coyne Long,Australia,,1918-10-14,,,,Right-handed,,,2013 (member page),"13 April 2015(2015-04-13) (aged 96)Sydney, Australia",,,,,,,,,,,
Dianne Fromholtz,,Australia,"Melbourne, Australia",1956-08-10,1.65 m,1973,1990,Left-handed (one-handed backhand),,"US$1,145,377",,,,,,,,,,,,,
Lili de Alvarez,Elia Maria González-Álvarez y López-Chicheri,Spain (−1936)France (1936–)[1],,1905-05-09,,,,Right-handed,,,,"8 July 1998(1998-07-08) (aged 93)Madrid, Spain",,,,,,,,,,,
Renée Schuurman,,South Africa,,1939-10-26,,,,Right-handed,,,,"30 May 2001(2001-05-30) (aged 61)[1]Howick, South Africa",,,,,,,Renee Schuurman,,,,
Sofia Kenin,Sofia Anna Kenin,United States,"Pembroke Pines, Florida, US",1998-11-14,1.70 m,2017,,Right-handed (two-handed backhand),Alex Kenin,"US$7,362,333",,,,sonyakenin.com,,,,,,,,,
Mary Pierce,,France,"Rivière Noire, Mauritius",1975-01-15,1.78 m,March 1989,,Right-handed (two-handed backhand),,"$9,793,119",2019 (member page),,,,,,,,,,,,
Edith Austin,,United Kingdom,,1867-12-15,,,,,,,,"27 July 1953(1953-07-27) (aged 85)Fulham, London, England[1]",,,,,,,,,,,
Jana Novotná,,Czechoslovakia (1987–1992) Czech Republic (1993–1999),,1968-10-02,1.75 m,1987,1999,Right-handed (one-handed backhand),,"$11,249,284",2005 (member page),19 November 2017(2017-11-19) (aged 49)Czech Republic,,,,,,,,,,,
Mary Joe Fernández,,United States,"Miami, Florida, U.S.",1971-08-19,1.75 m,1986,2000,Right-handed (two-handed backhand),,"$5,258,471",,,,,,,,,,,,,
May Sutton,May Godfrey Sutton Bundy,United States,,1886-09-25,1.64 m,,,Right-handed,,,1956 (member page),"October 4, 1975(1975-10-04) (aged 89)Santa Monica, California",,,,,,,,,,,
Renáta Tomanová,,,,1954-12-09,1.68 m,,,Right-handed,,,,,,,,,,,,,,,
Nelly Landry,,Belgium (1933-1936) France (1937 onwards),,1916-12-27,,,,,,,,22 February 2010(2010-02-22) (aged 93),,,,,,,,,,,
Margaret Scriven,Margaret Croft Scriven-Vivian,United Kingdom,,1912-08-12,,,,Left-handed (one-handed backhand),,,2016 (member page),"25 January 2001(2001-01-25) (aged 88)Haslemere, England",,,,,,,,,,,
Carole Caldwell Graebner,,United States,,1943-06-24,,,,,,,,"November 19, 2008(2008-11-19) (aged 65)New York, USA",,,,,,,Carole Graebner,,,,
Maria Sharapova,Maria YuryevnaSharapova,Russia,"Bradenton, Florida, U.S.",1987-04-19,1.88 m,19 April 2001[1],26 February 2020[2],Right-handed (two-handed backhand),,"$38,777,962
3rd all-time in earnings[3]",,,Мария Юрьевна Шарапова,mariasharapova.com,,,,,,,,,
Beryl Penrose,,Australia,,1930-12-22,,,,Right–handed (one-handed backhand),,,,,,,,,,,,,,,
Mary K. Browne,Mary Kendall Browne,United States,,1891-06-03,1.57 m,,,Right-handed,,,1957 (member page),"August 19, 1971(1971-08-19) (aged 80)Laguna Hills, U.S.",,,,,,,,,,,
Helen Wills,Helen Newington WillsHelen Wills MoodyHelen Wills Roark,United States,,1905-10-06,1.71 m,,1938,,,,1959 (member page),"January 1, 1998(1998-01-01) (aged 92)Carmel, CA, United States",,,,,,,,,,,
Eleanor E. Goss,,United States,,1895-11-18,,,,Right-handed,,,,"November 6, 1982 (aged 86)[1]Salisbury, Connecticut, USA",,,,,,,,,,,
Pam Shriver,Pamela Howard Shriver,United States,"Los Angeles, California, U.S.",1962-07-04,1.83 m,1979,1997,Right-handed (one-handed backhand),Don Candy[1],"$5,460,566",2002 (member page),,,,,,,,,,,,
Olga Morozova,,,"London, England",1949-02-22,1.70 m,1966,1977 and 1989,Right-handed (one handed-backhand),,no value,,,,,,,,,,,,,
Ginette Bucaille,,France,,,,,,,,,,,,,,,,,,,,,
Ashleigh Barty,,Australia,"Ipswich, Queensland, Australia",1996-04-24,1.66 m,April 2010,,Right-handed (two-handed backhand),Craig Tyzzer,"$18,330,358
23rd all-time in earnings[2]",,,,,,,,,,Right-handed,Right-arm medium,,
Sylvia Hanika,,,"La Manga, Spain",1959-11-30,1.73 m,1977,1990,Left-handed (one handed-backhand),,"US$ 454,347",,,,,,,,,,,,,
Vera Suková,,Czechoslovakia,,1931-06-13,,,,,,,,"13 May 1982(1982-05-13) (aged 50)Prague, Czechoslovakia",,,,,,,,,,,
Louise Hammond Raymond,Louise Ellsworth Hammond Raymond,United States,,1886-12-29,,,,,,,,"August 1991Scarsdale, NY, United States",,,,,,,,,,,
Mima Jaušovec,,Yugoslavia,,1956-07-20,1.60 m,1975,1988,Right-handed (one-handed backhand),,"$933,926",,,,,,,,,,,,,
Eleonora Sears,Eleonora Randolph Sears,United States,,1881-10-28,,,,Right-handed,,,1968 (member page),"March 16, 1968(1968-03-16) (aged 86)Palm Beach, Florida, U.S.",,,,,,,,,,,
Françoise Dürr,,France,,1942-12-25,1.63 m,1968 (start of Open Era),1984,Right-handed (single handed-backhand),,,2003 (member page),,,,,,,,,,,,
Helga Niessen,,West Germany,,1941-11-11,1.83 m,,,Right-handed (one handed backhand),,,,,,,,,,,Helga Masthoff,,,,
Nathalie Tauziat,,France,"Anglet, France",1967-10-17,1.65 m,1984,2003,Right-handed (one handed-backhand),,"$6,650,093",,,,,,,,,,,,,
Betty Stöve,Betty Flippina Stöve,Netherlands,"Brasschaat, Belgium",1945-06-24,1.80 m,,,Right-handed,,"US$1,047,356",,,,,,,,,Betty Stove,,,,
Tracy Austin,,United States,"Rolling Hills, California",1962-12-12,165 cm,"October 23, 1978",July 1994,Right-handed(two-handed backhand),"Pancho Segura, Robert Lansdorp, Vic Braden","US$1,992,380[1]",1992 (member page),,,,,,,,,,,,
Andrea Jaeger,,United States,"Santa Rosa Beach, Florida",1965-06-04,1.68 m,1980,1985,Right-handed (two handed-backhand),,"US$ 1,379,065[1]",,,,,,,,,,,,,
Molla Mallory,Molla Bjurstedt Mallory,Norway United States,,1884-03-06,,,,Right-handed,,,1958 (member page),"November 22, 1959(1959-11-22) (aged 75)Stockholm, Sweden",,,,,,,,,,,
Barbara Jordan,,,,,,,,,,,,,,,,,,,,,,,
Judy Tegart,,Australia,,1937-12-12,,,,,,,,,,,,,,,,,,,
Nancye Bolton,,Australia,,1916-12-02,1.78 m,,,Right-handed,,,2006 (member page),"9 November 2001(2001-11-09) (aged 84)Melbourne, Australia",,,,,,,,,,,
Suzanne Lenglen,,France,,1899-05-24,1.64 m,August 1926,,Right-handed (one-handed backhand),Charles Lenglen,,1978 (member page),"4 July 1938(1938-07-04) (aged 39)Paris, France",,,,,,,,,,,
Madison Keys,,United States,"Orlando, Florida[1]",1995-02-17,1.78 m,"February 17, 2009",,Right-handed (two-handed backhand),Ola Malmqvist,"US$12,603,740",,,,,,,,,,,,,
Jennifer Brady,,United States,,1995-04-12,1.78 m,2014,,Right-handed (two-handed backhand),Michael Geserer[1],"$4,405,195",,,,,UCLA,,,,,,,,
Florența Mihai,,Romania,,1955-09-02,1.65 m,,,Right-handed [1],,,,14 October 2015(2015-10-14) (aged 60),,,,,,,,,,,
Arantxa Sánchez Vicario,,Spain,"Barcelona, Spain",1971-12-18,1.69 m,1985,2002,Right-handed (two-handed backhand),,"$16,942,640
 20th in all-time rankings (female)",2007 (member page),,,,,,,,,,,,
Doris Hart,,United States,,1925-06-20,,,1955 (but played at the 1968 Wimbledon Championships and the 1969 US Open),,,,1969 (member page),"May 29, 2015(2015-05-29) (aged 89)Coral Gables, Florida, U.S.",,,,,,,,,,,
Dorothy Stevenson,,,,,,,,,,,,,,,,,,,,,,,
Sarah Palfrey Cooke,Sarah Hammond Palfrey Danzig,United States,,1912-09-18,1.63 m,1947,,Right-handed,,,1963 (member page),"February 27, 1996(1996-02-27) (aged 83)New York, New York, United States",,,,,,,,,,,
